序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402001,繁星推甄,繁星生,外語群英語類,438,台中縣私立致用高中,應用外語科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402002,繁星推甄,繁星生,外語群英語類,208,台北縣國立華僑中學,綜合高中部
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402003,繁星推甄,繁星生,外語群英語類,111,台北市市立士林高商,應用外語科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402004,技優甄審,技優生,商業類,831,高雄縣私立中山工商,應用外語科(英文)
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402005,甄選入學,甄選一般生,餐旅群,744,臺南縣國立曾文家商,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402006,甄選入學,甄選一般生,餐旅群,814,高雄縣國立鳳山商工,觀光事業科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402007,甄選入學,甄選一般生,商管群,428,苗栗縣國立卓蘭高級中等學校,國際貿易科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402008,甄選入學,甄選一般生,商管群,404,台中縣私立僑泰高中,應用外語科(英文)
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402009,甄選入學,甄選一般生,商管群,880,澎湖縣國立馬公高中,資料處理科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402010,甄選入學,甄選一般生,商管群,402,台中縣私立僑泰高中,應用外語科(英文)
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402011,甄選入學,甄選一般生,商管群,320,桃園縣私立新興高中,應用外語科(日文)
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402012,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,應用外語科(日文)
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402013,甄選入學,甄選一般生,商管群,320,桃園縣私立新興高中,應用外語科(日文)
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402014,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,應用外語科(日文)
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402015,甄選入學,甄選一般生,商管群,806,高雄市私立復華高中,應用外語科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402016,甄選入學,甄選一般生,商管群,320,桃園縣私立啟英高中,應用外語科(英文)
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402017,甄選入學,甄選一般生,商管群,709,台南市國立台南高商,商業經營科
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402018,甄選入學,甄選一般生,商管群,509,彰化縣國立秀水高工,建築科
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402019,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,電子商務(處理)科
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402020,甄選入學,甄選一般生,商管群,830,高雄縣國立鳳山商工,商業經營科
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402021,甄選入學,甄選一般生,商管群,338,桃園縣私立啟英高中,應用外語科(英文)
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402022,甄選入學,甄選一般生,外語群英語類,247,台北縣國立三重商工,應用外語科(英文)
23,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402023,甄選入學,甄選一般生,外語群英語類,653,雲林縣國立北港高中,應用外語科(英文)
24,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402024,甄選入學,甄選一般生,外語群英語類,542,南投縣國立南投高中,應用外語科(英文)
25,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402025,甄選入學,甄選一般生,外語群英語類,334,桃園縣私立新興高中,商業經營科
26,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402026,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
27,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402027,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,資訊科
28,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402029,運動績優單招,運動單招生,,721,臺南縣國立曾文農工,電機科
29,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402030,身心障礙甄試,身心障礙生,,723,臺南縣國立北門農工,電子商務(處理)科
30,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402031,身心障礙單招,身心障礙生,,880,澎湖縣國立馬公高中,觀光事業科
31,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402032,聯合登記分發,聯登一般生,商管群,231,台北縣鶯歌工商,資料處理科
32,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402033,聯合登記分發,聯登一般生,商管群,330,桃園縣私立振聲高中,
33,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402035,聯合登記分發,聯登一般生,商管群,334,桃園縣私立新興高中,
34,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402036,聯合登記分發,聯登一般生,商管群,303,新竹縣私立義民高中,資料處理科
35,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,1109402037,聯合登記分發,聯登一般生,商管群,401,台中市私立新民高中,商業經營科
